filename	size	churn	minor	major	total	ownership	bugs
test/util/build_page/upload_results/index.py	49.0	392.0	0.0	3.0	3.0	0.5	0
docs/reST/ref/code_examples/joystick_calls.png	38.0	370.0	0.0	3.0	3.0	0.5833333333333334	0
test/mixer_music_tags.py	137.0	1141.0	0.0	3.0	3.0	0.6363636363636364	0
test/test_utils/png.py	48.0	0.0	0.0	3.0	3.0	0.5	0
docs/reST/ref/mouse.rst	1.0	8.0	0.0	3.0	3.0	0.5	0
examples/cursors.py	860.0	7129.0	0.0	3.0	3.0	0.6363636363636364	0
examples/data/alien2.png	420.0	3360.0	0.0	3.0	3.0	0.5	0
docs/reST/ref/pixelarray.rst	22.0	251.0	0.0	3.0	3.0	0.5555555555555556	0
src/doc/time_doc.h	329.0	2640.0	0.0	3.0	3.0	0.5555555555555556	0
lib/pygame_icon.svg	74.0	624.0	0.0	3.0	3.0	0.5833333333333334	0
docs/reST/ref/draw.rst	521.0	4206.0	0.0	3.0	3.0	0.5833333333333334	0
symbian/app/pygame.rss	161.0	1280.0	0.0	3.0	3.0	0.6153846153846154	0
lib/gp2x/__init__.py	87.0	696.0	0.0	3.0	3.0	0.5	0
symbian/lib/rwobject.py	131.0	1146.0	0.0	3.0	3.0	0.6153846153846154	0
configtest/testdir/libvorbis-1.2.0/Release/libvorbis-0.dll	1485.0	12732.0	0.0	3.0	3.0	0.6666666666666666	0
test/run_tests__tests/infinite_loop/__init__.py	57.0	460.0	0.0	3.0	3.0	0.5555555555555556	0
configtest/testdir/bin/zlib1.dll	237.0	1904.0	0.0	3.0	3.0	0.5555555555555556	0
test/util/build_page/libs/pywebsite/zdb.py	150.0	1200.0	0.0	3.0	3.0	0.5	0
src/doc/color_doc.h	288.0	2339.0	0.0	3.0	3.0	0.5555555555555556	0
docs/reST/ref/code_examples/draw_module_example.png	1.0	2.0	0.0	2.0	2.0	0.5	0
configtest/testdir/bin/libvorbisfile-3.dll	111.0	888.0	0.0	3.0	3.0	0.5	0
